,Market Cap (intraday) ,Enterprise Value ,Trailing P/E ,Forward P/E ,PEG Ratio (5 yr expected) ,Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue ,Enterprise Value/EBITDA ,Beta (5Y Monthly) ,52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float 8,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Nov 29, 2021) 4","Short Ratio (Nov 29, 2021) 4","Short % of Float (Nov 29, 2021) 4","Short % of Shares Outstanding (Nov 29, 2021) 4","Shares Short (prior month Oct 28, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends ,Most Recent Quarter (mrq),Profit Margin ,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA ,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),"Shares Short (Nov 14, 2021) 4","Short Ratio (Nov 14, 2021) 4","Short % of Float (Nov 14, 2021) 4","Short % of Shares Outstanding (Nov 14, 2021) 4","Shares Short (prior month Oct 14, 2021) 4",Shares Short  4,Short Ratio  4,Short % of Float  4,Short % of Shares Outstanding  4,Shares Short (prior month ) 4,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4","Shares Short (Jun 14, 2021) 4","Short Ratio (Jun 14, 2021) 4","Short % of Float (Jun 14, 2021) 4","Short % of Shares Outstanding (Jun 14, 2021) 4","Shares Short (prior month May 13, 2021) 4","Shares Short (Aug 12, 2021) 4","Short Ratio (Aug 12, 2021) 4","Short % of Float (Aug 12, 2021) 4","Short % of Shares Outstanding (Aug 12, 2021) 4","Shares Short (prior month Jul 14, 2021) 4","Shares Short (Jul 29, 2021) 4","Short Ratio (Jul 29, 2021) 4","Short % of Float (Jul 29, 2021) 4","Short % of Shares Outstanding (Jul 29, 2021) 4","Shares Short (prior month Jun 29, 2021) 4","Shares Short (Sep 14, 2021) 4","Short Ratio (Sep 14, 2021) 4","Short % of Float (Sep 14, 2021) 4","Short % of Shares Outstanding (Sep 14, 2021) 4","Shares Short (prior month Aug 12, 2021) 4","Shares Short (Oct 14, 2021) 4","Short Ratio (Oct 14, 2021) 4","Short % of Float (Oct 14, 2021) 4","Short % of Shares Outstanding (Oct 14, 2021) 4","Shares Short (prior month Sep 14, 2021) 4","Shares Short (Apr 14, 2021) 4","Short Ratio (Apr 14, 2021) 4","Short % of Float (Apr 14, 2021) 4","Short % of Shares Outstanding (Apr 14, 2021) 4","Shares Short (prior month Mar 14, 2021) 4","Shares Short (Aug 30, 2021) 4","Short Ratio (Aug 30, 2021) 4","Short % of Float (Aug 30, 2021) 4","Short % of Shares Outstanding (Aug 30, 2021) 4","Shares Short (prior month Jul 29, 2021) 4","Shares Short (Oct 28, 2021) 4","Short Ratio (Oct 28, 2021) 4","Short % of Float (Oct 28, 2021) 4","Short % of Shares Outstanding (Oct 28, 2021) 4","Shares Short (prior month Sep 29, 2021) 4","Shares Short (Sep 29, 2021) 4","Short Ratio (Sep 29, 2021) 4","Short % of Float (Sep 29, 2021) 4","Short % of Shares Outstanding (Sep 29, 2021) 4","Shares Short (prior month Aug 30, 2021) 4","Shares Short (Jul 14, 2021) 4","Short Ratio (Jul 14, 2021) 4","Short % of Float (Jul 14, 2021) 4","Short % of Shares Outstanding (Jul 14, 2021) 4","Shares Short (prior month Jun 14, 2021) 4","Shares Short (Jun 29, 2021) 4","Short Ratio (Jun 29, 2021) 4","Short % of Float (Jun 29, 2021) 4","Short % of Shares Outstanding (Jun 29, 2021) 4","Shares Short (prior month May 27, 2021) 4","Shares Short (Apr 29, 2021) 4","Short Ratio (Apr 29, 2021) 4","Short % of Float (Apr 29, 2021) 4","Short % of Shares Outstanding (Apr 29, 2021) 4","Shares Short (prior month Mar 30, 2021) 4"
CLVT,16.81B,21.12B,49.96,26.32,N/A,8.55,1.71,11.92,24.86,0.55,-21.00%,25.05%,34.79,20.31,23.20,25.00,3.88M,4.05M,686.69M,N/A,406.58M,13.70%,84.92%,30.49M,7.22,8.12%,4.77%,27.5M,N/A,N/A,N/A,N/A,N/A,0.00%,"Mar 14, 2018",N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-3.26%,6.98%,0.65%,-0.85%,1.77B,2.86,55.50%,824.75M,643.14M,-80.25M,-0.13,N/A,2.48B,3.88,5.4B,48.16,1.64,15.35,440.99M,-1.29B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASX,15.92B,25.11B,10.74,8.58,N/A,0.82,1.87,0.05,0.22,1.20,29.43%,25.05%,9.62,5.48,7.29,8.00,4.38M,5.17M,2.14B,N/A,1.58B,0.00%,7.05%,8.32M,2.52,N/A,0.39%,7.99M,0.3,4.12%,4.20,57.53%,3.32,43.51%,"Oct 06, 2021","Sep 02, 2021",1029:1000,"Aug 12, 2008","Dec 30, 2020","Sep 29, 2021",7.88%,9.85%,5.45%,19.23%,545.94B,253.94,22.30%,77.98B,104.82B,43.04B,0.70,111.20%,57.36B,26.58,223.56B,89.12,1.35,108.99,76.94B,8.55B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDAY,15.72B,16.51B,1.50k,227.27,5.36,16.06,7.07,17.12,-8.26k,1.39,3.07%,25.05%,130.37,78.20,116.67,101.69,1.02M,1.32M,151.33M,146.78M,128.86M,0.85%,104.51%,7.02M,7.15,6.24%,4.64%,6.49M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-8.62%,-2.66%,-0.22%,-3.91%,964.9M,6.47,25.80%,386M,17.9M,-83.2M,-0.56,N/A,378.8M,2.5,1.18B,52.94,1.07,14.70,-28.6M,140.64M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLOK,14.15B,16.57B,16.11,11.36,0.67,5.35,1.19k,6.16,11.10,1.08,22.59%,25.05%,28.92,19.41,25.18,25.02,3.76M,4.41M,581.76M,N/A,579.64M,0.40%,98.53%,20.56M,4.09,4.70%,3.53%,21.76M,0.5,1.94%,0.50,1.94%,1.59,33.11%,"Dec 14, 2021","Nov 18, 2021",2:1,"Nov 30, 2004","Apr 01, 2021","Sep 30, 2021",32.95%,43.77%,11.28%,N/A,2.69B,4.60,10.50%,2.19B,1.28B,895M,1.50,420.30%,1.54B,2.65,3.96B,N/A,0.69,-0.40,967M,1.24B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHKP,14.69B,12.95B,18.13,15.20,2.33,6.98,4.45,6.08,13.75,0.75,-10.03%,25.05%,139.26,107.85,116.07,118.40,1.12M,1.92M,132.8M,N/A,107.54M,18.85%,75.10%,6.38M,5.59,5.92%,4.80%,5.94M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,3:2,"Feb 12, 2001","Dec 30, 2020","Sep 29, 2021",38.78%,42.83%,10.21%,24.85%,2.13B,15.89,4.90%,1.84B,934.7M,826.7M,6.14,-6.80%,1.74B,13.1,28.8M,0.87,1.43,24.89,1.19B,815.35M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOOD,17.31B,15.97B,N/A,N/A,N/A,9.73,2.34,9.02,-14.79,N/A,-45.15%,25.05%,85.00,17.08,31.94,38.53,10.21M,17.77M,835.68M,N/A,456.81M,7.60%,68.28%,26.42M,2.73,4.64%,3.07%,27.37M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-183.63%,-67.88%,N/A,N/A,1.77B,5.31,35.40%,709.85M,N/A,-3.25B,-9.77,N/A,10.66B,12.4,3.28B,44.47,1.47,8.63,-262.44M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASAN,12.66B,12.57B,N/A,N/A,N/A,34.37,51.16,37.54,-56.42,N/A,140.20%,25.05%,145.79,25.41,111.35,71.88,3.41M,4.8M,97.69M,186.43M,80.37M,17.62%,74.55%,6.44M,2.25,7.74%,3.45%,5.38M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Oct 30, 2021",-77.59%,-68.41%,-20.55%,-188.84%,334.86M,1.98,70.30%,198.26M,-223.22M,-259.8M,-1.53,N/A,343.4M,1.84,255.09M,103.08,1.87,1.33,-62.62M,-70.44M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-5.05%,25.05%,90.74,79.27,84.10,84.10,3.09M,3.09M,15.3M,178.89M,3.08M,0.33%,0.00%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Oct 30, 2021",-24.23%,-20.45%,N/A,N/A,286.07M,4.33,48.80%,170.8M,-56.75M,-69.32M,-1.05,N/A,218.19M,3.25,19.36M,11.19,1.56,-2.62,-55.75M,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUR,14.92B,14.91B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.30%,25.05%,17.77,9.50,11.07,10.27,3.2M,5M,642.87M,1.12B,62.47M,7.95%,16.15%,5.04M,0.94,N/A,0.45%,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",0.00%,"-1,022.11%",N/A,N/A,55.6M,0.26,N/A,N/A,-553.19M,-570.31M,-2.69,N/A,630.37M,2.51,150.86M,6.15,8.80,1.16,-478.95M,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC,14.21B,15.53B,29.92,30.03,2.31,7.90,6.97,8.60,27.50,1.28,0.51%,25.05%,153.73,105.49,120.45,130.63,855.22k,1.05M,117.87M,N/A,105.97M,10.06%,87.95%,2.49M,2.51,2.64%,2.11%,2.77M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:5,"Feb 27, 2006","Sep 29, 2021","Sep 29, 2021",26.39%,21.96%,6.29%,27.43%,1.81B,15.47,22.90%,1.44B,452.25M,476.92M,4.03,448.50%,404.07M,3.43,1.65B,80.86,1.38,17.40,368.81M,457.21M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFIV,14.05B,13.85B,42.97,19.68,1.30,5.47,5.95,5.32,27.19,1.05,33.69%,25.05%,239.12,170.00,221.06,202.85,423.1k,462.13k,61.23M,N/A,57.7M,0.40%,99.21%,2.43M,5.35,4.48%,3.96%,3.12M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Aug 20, 2007","Sep 29, 2021","Sep 29, 2021",12.72%,17.06%,5.74%,14.43%,2.6B,42.88,10.90%,2.12B,559.65M,331.24M,5.34,42.60%,910.61M,14.87,715.28M,30.31,1.16,38.91,645.2M,588.76M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDG,16.23B,16.23B,116.64,50.51,2.78,9.66,13.07,9.17,63.96,1.07,-9.34%,25.05%,389.71,199.33,327.69,279.99,829.51k,1.77M,52.52M,N/A,51.79M,0.81%,83.04%,1.45M,2.13,3.17%,2.77%,1.85M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",8.24%,10.36%,4.64%,12.83%,1.77B,34.12,55.70%,461.36M,220.7M,145.87M,2.67,21.20%,682.17M,12.99,677.83M,54.57,3.83,23.65,151.78M,-157.41M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGI,13.61B,12.52B,15.00,17.73,N/A,2.40,6.02,2.15,10.19,0.70,-12.37%,25.05%,140.17,76.70,82.96,103.44,889.71k,768.14k,167.47M,168.7M,166.45M,0.67%,67.16%,10.34M,12.37,6.21%,6.17%,11.82M,0.95,1.14%,0.93,1.11%,1.49,17.27%,"Sep 21, 2021","Sep 19, 2021",2:1,"Jul 16, 2006","Mar 30, 2021","Sep 29, 2021",16.05%,19.30%,20.20%,47.10%,5.82B,34.52,3.90%,2.35B,1.23B,934.57M,5.42,-47.80%,1.14B,6.79,43.69M,1.93,2.09,13.49,882.27M,483.65M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSY,13.37B,14.56B,143.45,60.61,N/A,16.20,35.27,15.95,82.67,N/A,31.63%,25.05%,71.92,36.50,54.46,56.82,942.53k,1.17M,270.74M,282.35M,120.46M,19.94%,33.66%,7.64M,7.89,9.83%,2.71%,7.53M,0.12,0.24%,0.03,0.06%,N/A,36.36%,"Dec 15, 2021","Dec 07, 2021",N/A,N/A,"Dec 30, 2020","Sep 29, 2021",11.34%,15.31%,4.93%,53.72%,912.98M,3.01,22.40%,635.85M,178.71M,103.48M,0.33,N/A,155.76M,0.51,1.35B,357.15,0.73,1.23,289.73M,330.85M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,13.33B,11.70B,N/A,N/A,N/A,96.85,7.94,69.19,-51.15,N/A,12.87%,25.05%,78.53,39.94,60.42,57.04,3.11M,7.69M,134.52M,266.91M,127.69M,0.52%,218.09%,6.09M,3.06,14.61%,2.30%,4.04M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Oct 30, 2021",-140.35%,-136.71%,N/A,N/A,169.03M,1.45,128.10%,53.72M,-226.21M,-237.23M,-2.03,N/A,1.67B,6.24,29.63M,1.76,8.64,6.30,-113.3M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGNX,13.48B,13.12B,46.22,42.92,N/A,13.48,9.03,12.90,37.74,1.65,-6.06%,25.05%,101.82,72.85,81.23,82.55,698.25k,777.66k,176.8M,N/A,170.69M,3.93%,92.57%,1.8M,2.02,1.18%,1.02%,2.36M,0.26,0.34%,0.24,0.32%,0.35,14.55%,"Dec 02, 2021","Nov 17, 2021",2:1,"Dec 03, 2017","Dec 30, 2020","Oct 02, 2021",29.08%,31.33%,9.69%,19.72%,1.02B,5.77,13.50%,604.6M,340.55M,295.69M,1.65,-9.80%,392.59M,2.22,26.81M,1.80,4.07,8.44,341.81M,231.53M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYFT,13.46B,12.07B,0.90,N/A,N/A,4.63,9.07,4.30,-11.95,1.92,-23.72%,25.05%,68.28,36.25,46.80,53.90,5.87M,6.85M,332.12M,340.73M,289.68M,12.55%,82.33%,24.55M,3.28,8.88%,7.21%,27.72M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-43.05%,-45.12%,-16.17%,-69.34%,2.81B,8.53,73.00%,531.51M,-1.13B,-1.21B,-3.67,N/A,2.38B,6.99,1.02B,68.82,1.21,4.36,-340.12M,106.63M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTLB,10.86B,9.94B,N/A,N/A,N/A,49.05,13.84,44.96,-45.89,N/A,-25.49%,25.05%,137.00,70.00,104.35,104.35,981.44k,1.7M,12.6M,144.8M,9.82M,6.22%,68.92%,2.09M,4.45,18.31%,1.45%,966.79k,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Oct 30, 2021",-103.80%,-98.12%,N/A,N/A,221M,3.92,58.50%,133.71M,-216.52M,-229.39M,-4.07,N/A,924.75M,6.39,N/A,N/A,5.66,5.43,-56.08M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNDY,13.59B,12.73B,N/A,N/A,N/A,51.71,19.09,48.46,-83.42,N/A,63.30%,25.05%,450.00,155.01,348.40,307.45,467.01k,518.76k,43.72M,N/A,7.97M,36.25%,60.18%,1.11M,1.76,7.60%,2.51%,663.52k,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-60.72%,-59.46%,N/A,N/A,262.75M,11.84,94.90%,138.63M,-153.85M,-172.42M,-7.77,N/A,876.22M,19.79,N/A,N/A,4.41,16.08,-8.11M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKI,11.45B,13.86B,59.48,27.40,1.96,8.01,5.08,9.69,21.70,0.69,-8.27%,25.05%,90.71,68.60,73.57,74.79,882.04k,1.17M,155.31M,N/A,148.91M,3.20%,92.65%,2.28M,2.31,1.72%,1.47%,1.86M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",13.58%,20.84%,2.98%,5.22%,1.43B,9.21,20.90%,568.9M,500.4M,194.3M,1.24,-58.20%,78.1M,0.51,2.51B,78.35,1.35,14.62,480.9M,460.68M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTEX,13.08B,15.20B,38.48,13.93,N/A,3.82,3.09,4.45,11.30,0.98,2.94%,25.05%,55.25,43.68,49.54,49.84,438.43k,504.54k,272.76M,N/A,266.94M,1.65%,77.22%,2.21M,4.3,0.82%,0.81%,2.6M,0.88,1.91%,0.82,1.78%,1.57,66.40%,"Dec 21, 2021","Dec 01, 2021",2:1,"Jan 24, 2017","Jun 29, 2021","Sep 29, 2021",9.94%,21.32%,4.62%,8.20%,3.41B,12.53,3.50%,2.57B,1.03B,339.21M,1.24,27.60%,1.74B,6.42,3.86B,91.64,1.88,15.52,831.88M,958.25M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEN,12.21B,12.45B,N/A,116.28,2.90,9.56,26.07,9.98,-97.71,1.09,-27.21%,25.05%,166.60,90.51,107.20,127.26,2.71M,2.13M,121.38M,N/A,119.57M,1.09%,100.88%,8.53M,2.82,7.13%,7.06%,8.26M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-18.59%,-12.55%,-4.47%,-51.61%,1.25B,10.52,32.50%,779.31M,-127.83M,-231.82M,-1.96,N/A,953.84M,7.89,1.19B,254.76,1.57,3.88,180.64M,327.63M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCTY,13.10B,13.11B,149.74,166.67,4.56,19.71,28.02,19.23,120.34,1.34,10.15%,25.05%,314.49,154.26,269.28,223.83,329.51k,354.96k,55.03M,N/A,40.31M,26.61%,73.02%,654.78k,1.6,2.02%,1.19%,670.75k,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jun 29, 2021","Sep 29, 2021",13.10%,9.52%,1.39%,20.90%,681.53M,12.50,33.80%,416.33M,84.95M,89.29M,1.59,148.30%,69.58M,1.26,74.41M,15.91,1.02,8.50,122.28M,111.82M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JKHY,11.72B,11.74B,36.72,33.67,2.49,6.62,8.40,6.54,19.86,0.60,3.81%,25.05%,179.98,141.65,160.88,163.27,533.94k,667.42k,74.04M,N/A,73.39M,0.96%,92.45%,3.13M,4.45,5.58%,4.22%,2.57M,1.84,1.12%,1.81,1.10%,1.08,42.00%,"Dec 22, 2021","Dec 01, 2021",2:1,"Mar 04, 2001","Jun 29, 2021","Sep 29, 2021",17.96%,23.11%,11.23%,21.93%,1.79B,23.95,8.00%,694.83M,467.79M,322.37M,4.30,11.90%,44.25M,0.6,123.21M,8.83,1.14,18.85,454.2M,246.69M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDDY,11.87B,14.80B,54.50,N/A,N/A,3.32,24.35,4.03,26.95,0.97,-14.79%,25.05%,93.75,65.70,70.23,77.15,1.46M,2M,166.21M,166.53M,155.66M,0.27%,99.42%,5.45M,3.1,3.29%,3.28%,5.32M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",6.15%,9.87%,3.35%,N/A,3.67B,21.80,14.20%,2.16B,563.4M,225.6M,1.32,50.70%,1.16B,6.99,4.19B,N/A,0.71,-0.62,823M,471.86M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOLF,13.39B,13.38B,N/A,N/A,N/A,23.15,6.56,23.61,-80.23,1.57,7.48%,25.05%,142.33,75.06,114.77,100.47,1.63M,1.58M,116.22M,N/A,115.51M,0.60%,105.79%,11.72M,6.33,13.32%,10.08%,12.33M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Dec 10, 2000","Jun 26, 2021","Sep 25, 2021",-72.28%,-36.90%,-4.10%,-17.00%,566.7M,4.97,35.60%,164.6M,-86.4M,-336.1M,-3.60,N/A,857.8M,7.38,866M,42.46,3.86,17.55,-188.4M,-727.26M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVLR,12.49B,11.98B,N/A,N/A,N/A,19.00,12.07,18.47,-161.84,0.75,-22.97%,25.05%,191.67,117.33,158.83,155.10,682.26k,1.05M,86.92M,N/A,85.11M,1.66%,92.70%,3.15M,4.26,3.69%,3.62%,2.77M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-15.60%,-14.73%,-2.94%,-9.63%,648.6M,7.57,41.70%,357.47M,-61.48M,-101.22M,-1.18,N/A,1.54B,17.68,1.02B,98.57,3.34,11.92,40.28M,131.19M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDOS,12.36B,17.49B,16.25,12.59,N/A,0.93,3.00,1.30,11.75,0.85,-15.90%,25.05%,113.75,82.78,94.39,98.68,714.84k,1.06M,140.34M,N/A,132.5M,0.79%,81.24%,1.11M,1.69,0.89%,0.79%,1.76M,1.44,1.66%,1.38,1.59%,1.77,25.46%,"Dec 29, 2021","Dec 13, 2021",405:1000,"Sep 29, 2013","Dec 31, 2020","Sep 30, 2021",5.75%,8.85%,5.84%,19.79%,13.5B,95.56,7.40%,1.74B,1.51B,776M,5.42,25.80%,587M,4.18,5.78B,138.86,1.07,29.39,769M,444.38M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUP,11.61B,12.57B,N/A,147.06,5.15,16.36,12.46,18.07,-94.95,1.42,-55.43%,25.05%,377.04,146.43,213.00,235.47,1.52M,3.39M,74.68M,N/A,65.72M,0.58%,104.59%,5.9M,4.71,8.01%,7.96%,7.68M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Oct 30, 2021",-49.52%,-35.85%,-5.77%,-49.68%,695.53M,9.50,39.70%,319.94M,-113.18M,-344.41M,-4.71,N/A,667.85M,8.94,1.63B,172.58,0.82,12.49,124.31M,290.48M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICO,11.15B,12.27B,30.41,28.82,N/A,9.06,N/A,9.32,22.76,1.25,-20.14%,25.05%,553.97,342.89,390.29,461.64,318.62k,424.35k,27.36M,N/A,26.43M,1.61%,87.37%,830.16k,2.15,3.63%,3.03%,538.51k,N/A,N/A,0.00,0.00%,N/A,0.00%,"Mar 16, 2017","Feb 28, 2017",3:2,"Mar 10, 2004","Sep 29, 2021","Sep 29, 2021",29.78%,31.39%,16.28%,356.21%,1.32B,45.82,-10.60%,984.07M,437.87M,392.08M,13.40,45.00%,195.35M,7.14,1.33B,N/A,0.99,-4.02,423.82M,377.4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIEN,11.36B,10.70B,24.86,21.69,N/A,3.37,3.89,2.96,17.06,0.80,44.23%,25.05%,75.45,47.52,60.02,56.32,1.26M,2.84M,154.86M,N/A,153.24M,1.15%,93.28%,3.41M,3.17,2.22%,2.20%,4.14M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,1:7,"Sep 24, 2006","Oct 29, 2021","Oct 29, 2021",13.81%,13.43%,6.72%,18.09%,3.62B,23.32,25.70%,1.72B,618.48M,500.2M,3.19,59.10%,1.6B,10.36,819.61M,27.14,3.51,19.50,541.65M,356.6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
